epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1902.82,1.52852,2.83309,1.58764,0.61487,0.18258,0.17391,0.09915,1.62227,3.61315,1.48872,0.000255905,0.000255905,0.000255905
2,3602.16,1.46349,2.31041,1.54684,0.62391,0.21139,0.23155,0.13772,1.69234,3.98005,1.58049,0.000486883,0.000486883,0.000486883
3,5292.81,1.44115,2.20058,1.53742,0.38249,0.25298,0.24879,0.17287,1.50351,3.2539,1.39288,0.000692483,0.000692483,0.000692483
4,6987.99,1.39946,2.08847,1.50384,0.30508,0.34868,0.28633,0.18096,1.53879,3.17852,1.46219,0.000654804,0.000654804,0.000654804
5,8678.86,1.35011,1.99339,1.47709,0.44926,0.39643,0.34415,0.25209,1.48412,2.89578,1.40029,0.000616738,0.000616738,0.000616738
6,10383.9,1.32228,1.92792,1.45502,0.51016,0.43784,0.40944,0.3076,1.36923,2.77385,1.35694,0.000578672,0.000578672,0.000578672
7,12076.8,1.27186,1.85196,1.42919,0.57852,0.40976,0.45244,0.34222,1.30421,2.50562,1.29557,0.000540607,0.000540607,0.000540607
8,13769.5,1.23934,1.80892,1.4144,0.42772,0.51993,0.40508,0.26394,1.33561,2.87675,1.31518,0.000502541,0.000502541,0.000502541
9,15451.1,1.21525,1.74491,1.39298,0.5117,0.48642,0.44378,0.30963,1.26867,2.60261,1.25434,0.000464476,0.000464476,0.000464476
10,17134.8,1.19064,1.65837,1.3678,0.61575,0.48687,0.48945,0.36122,1.27247,2.90259,1.25239,0.000426411,0.000426411,0.000426411
11,18806.6,1.20845,1.64534,1.41648,0.71268,0.47624,0.562,0.40817,1.25323,2.33449,1.2525,0.000388345,0.000388345,0.000388345
12,20491.9,1.15251,1.52988,1.39132,0.65075,0.51409,0.5626,0.44628,1.19035,2.25641,1.21119,0.00035028,0.00035028,0.00035028
13,22170.3,1.1249,1.44645,1.35414,0.73133,0.53432,0.57103,0.42845,1.18365,2.2217,1.19384,0.000312214,0.000312214,0.000312214
14,23834.9,1.10413,1.41358,1.34574,0.62064,0.45677,0.51591,0.40235,1.19216,2.05248,1.20903,0.000274148,0.000274148,0.000274148
15,25513.4,1.04775,1.32741,1.31122,0.64893,0.5645,0.59148,0.44571,1.1387,2.21423,1.17587,0.000236083,0.000236083,0.000236083
16,27220.4,1.02965,1.28176,1.29963,0.88413,0.55749,0.67441,0.50768,1.11528,1.99502,1.15669,0.000198018,0.000198018,0.000198018
17,28909.5,1.00381,1.23729,1.28165,0.74664,0.55305,0.63043,0.46294,1.09436,2.04902,1.15977,0.000159952,0.000159952,0.000159952
18,30575.5,0.97655,1.18193,1.26837,0.87417,0.54384,0.68692,0.52077,1.07359,2.16495,1.13844,0.000121887,0.000121887,0.000121887
19,32248.8,0.95801,1.14199,1.25397,0.69512,0.6863,0.71265,0.53434,1.07604,1.98787,1.14044,8.3821e-05,8.3821e-05,8.3821e-05
20,33917.1,0.92414,1.10152,1.23574,0.76475,0.63703,0.71343,0.55822,1.04756,2.05926,1.12651,4.57555e-05,4.57555e-05,4.57555e-05
