epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.00571,0.57606,3.80216,1.19687,0.04688,1,0.33167,0.1443,0.59137,3.81327,0.57132,0,0,0
2,9.06677,0.68923,3.69433,1.26136,0.04478,1,0.37313,0.17884,0.54132,3.78807,0.54875,6.92869e-06,6.92869e-06,6.92869e-06
3,11.7248,0.89492,3.82274,1.56637,0.04286,1,0.37313,0.22051,0.4514,3.75319,0.51517,1.23348e-05,1.23348e-05,1.23348e-05
4,14.1317,0.66155,3.60919,1.12617,0.04286,1,0.37313,0.33581,0.33754,3.70942,0.47259,1.62182e-05,1.62182e-05,1.62182e-05
5,16.3788,0.44101,3.6713,1.21153,0.04167,1,0.665,0.58627,0.24412,3.69734,0.3976,1.8579e-05,1.8579e-05,1.8579e-05
6,18.7863,0.67732,3.73255,1.41441,0.04054,1,0.731,0.64565,0.2108,3.68744,0.38388,1.94173e-05,1.94173e-05,1.94173e-05
7,21.2253,0.47992,3.63487,1.21934,0.03947,1,0.731,0.66214,0.19131,3.67498,0.31274,1.87328e-05,1.87328e-05,1.87328e-05
8,23.5302,0.64465,3.75745,1.37542,0.04054,1,0.863,0.67221,0.17882,3.66821,0.29013,1.65258e-05,1.65258e-05,1.65258e-05
9,25.9243,0.27429,3.56143,1.08787,0.04,1,0.863,0.8399,0.1674,3.66346,0.27603,1.27962e-05,1.27962e-05,1.27962e-05
10,28.3144,0.35792,3.42245,1.06047,0.0411,1,0.863,0.8399,0.16145,3.66062,0.26441,7.54389e-06,7.54389e-06,7.54389e-06
