epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.957,2.07445,4.30573,2.39255,0.00333,1,0.08292,0.04146,2.01432,4.04999,1.84229,0,0,0
2,51.5135,2.18991,4.28457,2.62131,0.00333,1,0.07107,0.04975,1.27325,3.50419,1.438,1.802e-05,1.802e-05,1.802e-05
3,61.4884,1.62054,3.66794,2.04452,0.00333,1,0.09045,0.05679,0.58551,3.28502,0.97102,3.208e-05,3.208e-05,3.208e-05
4,71.1864,1.47022,3.62341,1.83119,0.00333,1,0.16583,0.13267,0.35532,3.10355,0.68899,4.218e-05,4.218e-05,4.218e-05
5,80.8232,1.20429,3.5564,1.74095,0.00333,1,0.4975,0.2985,0.26664,3.10141,0.54534,4.832e-05,4.832e-05,4.832e-05
6,89.8587,1.3363,3.4623,1.87791,0.00333,1,0.4975,0.34825,0.22084,3.0838,0.44844,5.05e-05,5.05e-05,5.05e-05
7,98.9944,0.68678,3.04197,1.3694,0.00333,1,0.995,0.796,0.21058,3.0827,0.39568,4.872e-05,4.872e-05,4.872e-05
8,108.187,0.41097,2.90373,1.25959,0.00333,1,0.995,0.796,0.21228,3.08376,0.3841,4.298e-05,4.298e-05,4.298e-05
9,117.712,0.68695,3.04963,1.5353,0.00333,1,0.995,0.796,0.21503,3.08246,0.39047,3.328e-05,3.328e-05,3.328e-05
10,126.918,0.88721,3.11212,1.61536,0.00333,1,0.995,0.796,0.21531,3.08361,0.38951,1.962e-05,1.962e-05,1.962e-05
